,Unnamed: 0,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6","Starts by intended market, 1 total",Newly completed and unabsorbed homes2,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Teranet - National Bank House Price Index (% change)7, One-bedroom, Two-bedroom,3+ bedroom,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8","New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7"
35,1996,16665,12949,3716,1049,1203,1464,,10385,177,1909,4,16357,17393,1658.26,,1062,790,,,,,,,,,359,441,543,596,,,,,,12475,1852,4.8,0,0,0.473831574413085,2.16898353544316,0,-0.0847697089573357,1.18492618492618,2775.133,72.3333333333333,2.98255040113318,6.9,1.84329190216214,16607,,,,,,,,,,,,,,,,,,,,
36,1997,23671,18170,5501,1458,1691,2352,,15072,379,3471,16,20259,24743,2437.295,,1045,301,,,,,,,,,369,461,565,613,,,,,,18938,1346,2.7,0,0,5.01607717041801,2.06503908134709,0,-0.179110105580691,1.38222307544634,2829.848,72.1666666666666,3.38706713068636,5.9,5.53625992379486,34421,,,,,,,,,,,,,,,,,,,,
37,1998,27122,20077,7045,1428,1512,4105,,16244,699,4764,18,25071,27964,2789.694,,1453,312,,,,,,,,,402,498,607,648,,,,,,21725,1765,1.4,0,0,6.53194529495815,1.15344615675523,6.20228009622423,1.69987723108886,2.41431547055481,2899.066,72.5999999999999,3.83120011010184,5.6,5.77159609056102,48984,,,,,,,,,,,,,,,,,,,,
38,1999,25447,16688,8759,1570,1424,5765,,13431,1260,5507,18,24015,26359,2588.444,,1600,552,,,,,,,,,416,517,633,675,,,,,,20216,2152,2.4,0,0,4.06208085840199,2.45817366108981,4.65333858577901,2.47005292970563,2.41286863270777,2952.692,72.6166666666666,2.2776351034159,5.7,2.23571076655311,32652,,,,,,,,,,,,,,,,,,,,
39,2000,26266,16835,9431,1518,1545,6368,,14026,1259,6214,7,25730,26511,2698.24,,1765,686,,,,,,,,,436,537,651,699,,,,,,21506,2451,1.3,0,0,2.28318909961332,3.4938879766466,3.1948430809768,4.04168554599003,2.04910633688392,3004.198,72.2083333333333,2.58222680612778,5,6.25942093228229,31042,,,,,,,,,,,,,,,,,,,,
40,2001,29174,19769,9405,1957,1779,5669,,16584,2485,5383,5,27936,30815,3157.432,,1376,560,,,,,,,,,467,581,701,768,,,,,,24457,1936,1.1,0,0,2.26822682268227,2.25650066108417,6.65238008389567,2.69140318787562,2.87483414418398,3058.084,72.3416666666666,2.79832184912433,4.7,11.0052267062989,33262,,,,,,,,,,,,,,,,,,,,
41,2002,38754,24520,14234,2869,2531,8834,,21148,3221,8359,0,32162,40788,4376.041,,1171,308,,,,,,,,,494,605,734,796,,,,,,32728,1479,2.3,0,0,5.80883647245203,3.43073872941987,3.23628746098927,1.78117048346056,3.17282889079965,3128.262,72.9083333333333,2.84965205057172,5.3,0.626463651670944,40443,,,,,,,,,,,,,,,,,,,,
42,2003,36171,21918,14253,2567,2859,8827,,20171,2094,9801,0,35883,35847,4011.564,,1832,571,,,,,,,,,501,613,745,794,,,,,,32066,2403,3.7,0,0,5.40675428381301,4.41703475289606,0.34371376511511,3.11666666666666,2.05017084757062,3182.852,73.525,3.2994443669966,5.1,1.80175253351731,23168,,,,,,,,,,,,,,,,,,,,
43,2004,36270,22487,13783,2916,2401,8466,,20862,2120,9206,0,35505,38824,4591.189,,1856,879,,,,,,,,,505,618,754,797,,,,,,32188,2735,4.6,0,0,5.12941919191919,1.40474100087797,2.45140522471215,2.90124454501374,0.832993058391174,3238.387,73.4833333333333,2.65087069052771,4.7,7.85309918239801,23578,,,,,,,,,,,,,,,,,,,,
44,2005,40847,26684,14163,3012,2951,8200,,22993,1098,10210,0,37078,43160,5744.475,,1505,614,,,,,,,,,514,633,765,821,,,,,,34301,2119,3.1,4.4,0,6.80078066356401,2.14088941361668,4.41087613293052,3.51056310374616,0.78561593909452,3321.638,72.6666666666666,2.56691974326106,4,8.57108752587302,50901,,,,,,,,,,,,,,,,,,,,
