,REF_DATE,GEO,Population estimate
2114,Jul-91,Northwest Territories including Nunavut,60878
2115,Jul-91,Northwest Territories,38724
2116,Jul-91,Nunavut,22154
2117,Oct-91,Canada,28127327
2118,Oct-91,Newfoundland and Labrador,579549
2119,Oct-91,Prince Edward Island,130360
2120,Oct-91,Nova Scotia,916896
2121,Oct-91,New Brunswick,745886
2122,Oct-91,Quebec,7080336
2123,Oct-91,Ontario,10465562
2124,Oct-91,Manitoba,1109400
2125,Oct-91,Saskatchewan,1000942
2126,Oct-91,Alberta,2604031
2127,Oct-91,British Columbia,3404049
2128,Oct-91,Yukon,29142
2129,Oct-91,Northwest Territories,38854
2130,Oct-91,Nunavut,22320
2131,Jan-92,Canada,28181477
2132,Jan-92,Newfoundland and Labrador,579425
2133,Jan-92,Prince Edward Island,130604
2134,Jan-92,Nova Scotia,917302
2135,Jan-92,New Brunswick,746571
2136,Jan-92,Quebec,7082645
2137,Jan-92,Ontario,10488022
2138,Jan-92,Manitoba,1109978
2139,Jan-92,Saskatchewan,1001136
2140,Jan-92,Alberta,2611786
2141,Jan-92,British Columbia,3423217
2142,Jan-92,Yukon,29239
2143,Jan-92,Northwest Territories,39055
2144,Jan-92,Nunavut,22497
2145,Apr-92,Canada,28269699
2146,Apr-92,Newfoundland and Labrador,579761
2147,Apr-92,Prince Edward Island,130812
2148,Apr-92,Nova Scotia,917555
2149,Apr-92,New Brunswick,747232
2150,Apr-92,Quebec,7096705
2151,Apr-92,Ontario,10528346
2152,Apr-92,Manitoba,1111050
2153,Apr-92,Saskatchewan,1002831
2154,Apr-92,Alberta,2620771
2155,Apr-92,British Columbia,3443237
2156,Apr-92,Yukon,29510
2157,Apr-92,Northwest Territories,39230
2158,Apr-92,Nunavut,22659
2159,Jul-92,Canada,28371264
2160,Jul-92,Newfoundland and Labrador,580109
2161,Jul-92,Prince Edward Island,130827
2162,Jul-92,Nova Scotia,919451
2163,Jul-92,New Brunswick,748121
2164,Jul-92,Quebec,7110010
2165,Jul-92,Ontario,10572205
2166,Jul-92,Manitoba,1112689
2167,Jul-92,Saskatchewan,1003995
2168,Jul-92,Alberta,2632672
2169,Jul-92,British Columbia,3468802
2170,Jul-92,Yukon,30084
2171,Jul-92,Northwest Territories,39416
2172,Jul-92,Nunavut,22883
2173,Oct-92,Canada,28474177
2174,Oct-92,Newfoundland and Labrador,579624
2175,Oct-92,Prince Edward Island,131201
2176,Oct-92,Nova Scotia,921619
2177,Oct-92,New Brunswick,747746
2178,Oct-92,Quebec,7129062
2179,Oct-92,Ontario,10610665
2180,Oct-92,Manitoba,1113209
2181,Oct-92,Saskatchewan,1002960
2182,Oct-92,Alberta,2643421
2183,Oct-92,British Columbia,3502209
2184,Oct-92,Yukon,30034
2185,Oct-92,Northwest Territories,39422
2186,Oct-92,Nunavut,23005
2187,Jan-93,Canada,28533602
2188,Jan-93,Newfoundland and Labrador,580819
2189,Jan-93,Prince Edward Island,131564
2190,Jan-93,Nova Scotia,922128
2191,Jan-93,New Brunswick,747892
2192,Jan-93,Quebec,7137514
2193,Jan-93,Ontario,10629994
2194,Jan-93,Manitoba,1114180
2195,Jan-93,Saskatchewan,1003443
2196,Jan-93,Alberta,2650886
2197,Jan-93,British Columbia,3522509
2198,Jan-93,Yukon,29964
2199,Jan-93,Northwest Territories,39538
2200,Jan-93,Nunavut,23171
2201,Apr-93,Canada,28600864
2202,Apr-93,Newfoundland and Labrador,580369
2203,Apr-93,Prince Edward Island,131833
2204,Apr-93,Nova Scotia,922469
2205,Apr-93,New Brunswick,748320
2206,Apr-93,Quebec,7147047
2207,Apr-93,Ontario,10656924
